Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2010,,,2010,,,2010,,,2010,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,6033045,5526039,-,1825647,2145468,-,7858692,7671507,-,76.77,72.03,-
20-24,11025107,10307346,-,2420699,2177596,-,13445806,12484942,-,82,82.56,-
25-29,14044773,14401201,-,1579424,1431390,-,15624197,15832591,-,89.89,90.96,-
30-34,14696329,15122567,-,919563,787077,-,15615892,15909644,-,94.11,95.05,-
35-39,13747143,14068025,-,604728,493461,-,14351871,14561486,-,95.79,96.61,-
40-44,12913530,13433234,-,461968,371338,-,13375498,13804572,-,96.55,97.31,-
45-49,10999810,11145675,-,354849,273585,-,11354659,11419260,-,96.87,97.6,-
50-54,8989551,9261736,-,228116,203075,-,9217667,9464811,-,97.53,97.85,-
55-59,6062075,6260965,-,145563,162678,-,6207638,6423643,-,97.66,97.47,-
60+,8894209,8680979,-,51933,274111,-,8946142,8955090,-,99.42,96.94,-
Total,107405572,108207767,-,8592490,8319779,-,115998062,116527546,-,92.59,92.86,-
