Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2016,,,2016,,,2016,,,2016,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,4873611,4472447,-,1255210,1747151,-,6128821,6219598,-,79.52,71.91,-
20-24,12295397,12407611,-,2475889,2327760,-,14771286,14735371,-,83.24,84.2,-
25-29,14557279,14420691,-,1241027,1099494,-,15798306,15520185,-,92.14,92.92,-
30-34,15120941,14830082,-,517476,559107,-,15638417,15389189,-,96.69,96.37,-
35-39,15452579,15021162,-,400794,339303,-,15853373,15360465,-,97.47,97.79,-
40-44,14748920,14433676,-,262133,302422,-,15011053,14736098,-,98.25,97.95,-
45-49,13374073,12877326,-,224408,176741,-,13598481,13054067,-,98.35,98.65,-
50-54,11077423,10803519,-,232180,182836,-,11309603,10986355,-,97.95,98.34,-
55-59,8259948,8348022,-,133479,131259,-,8393427,8479281,-,98.41,98.45,-
60+,10887526,10797437,-,281576,165702,-,11169102,10963139,-,97.48,98.49,-
Total,120647697,118411973,-,7024172,7031775,-,127671869,125443748,-,94.5,94.39,-
