Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2017,,,2017,,,2017,,,2017,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5527816,5142340,-,1185867,1954126,-,6713683,7096466,-,82.34,72.46,-
20-24,12995121,10997685,-,2157591,2192794,-,15152712,13190479,-,85.76,83.38,-
25-29,14812064,13005071,-,1121551,942386,-,15933615,13947457,-,92.96,93.24,-
30-34,15230047,15048964,-,600742,530219,-,15830789,15579183,-,96.21,96.6,-
35-39,15577244,17202398,-,412185,431185,-,15989429,17633583,-,97.42,97.55,-
40-44,15065145,14276271,-,376225,270261,-,15441370,14546532,-,97.56,98.14,-
45-49,13480126,13660154,-,384380,209213,-,13864506,13869367,-,97.23,98.49,-
50-54,11334253,11394107,-,297844,178588,-,11632097,11572695,-,97.44,98.46,-
55-59,8498289,8814593,-,278554,154821,-,8776843,8969414,-,96.83,98.27,-
60+,12018744,11480840,-,190323,176730,-,12209067,11657570,-,98.44,98.48,-
Total,124538849,121022423,-,7005262,7040323,-,131544111,128062746,-,94.67,94.5,-
