Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2014,,,2014,,,2014,,,2014,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5208806,5174517,-,1492527,2250148,-,6701333,7424665,-,77.73,69.69,-
20-24,12788210,10485734,-,2207102,2217984,-,14995312,12703718,-,85.28,82.54,-
25-29,14878870,12949359,-,1025031,1015728,-,15903901,13965087,-,93.55,92.73,-
30-34,15424835,16424492,-,662575,614620,-,16087410,17039112,-,95.88,96.39,-
35-39,15257210,14155638,-,467781,326225,-,15724991,14481863,-,97.03,97.75,-
40-44,14350626,15010358,-,361287,260597,-,14711913,15270955,-,97.54,98.29,-
45-49,12527383,12285477,-,351230,200366,-,12878613,12485843,-,97.27,98.4,-
50-54,10223377,10754512,-,322576,195049,-,10545953,10949561,-,96.94,98.22,-
55-59,7513853,7296823,-,154469,99847,-,7668322,7396670,-,97.99,98.65,-
60+,9996752,10091116,-,102491,64341,-,10099243,10155457,-,98.99,99.37,-
Total,118169922,114628026,-,7147069,7244905,-,125316991,121872931,-,94.3,94.06,-
