Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2012,,,2012,,,2012,,,2012,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5354350,6113593,-,1868093,2185923,-,7222443,8299516,-,74.13,73.66,-
20-24,12580841,10948855,-,2367069,1978561,-,14947910,12927416,-,84.16,84.69,-
25-29,14908601,13671548,-,1249691,1078139,-,16158292,14749687,-,92.27,92.69,-
30-34,15287275,15872441,-,726726,697540,-,16014001,16569981,-,95.46,95.79,-
35-39,14892981,14218495,-,545162,386221,-,15438143,14604716,-,96.47,97.36,-
40-44,13796975,14252621,-,425529,341218,-,14222504,14593839,-,97.01,97.66,-
45-49,11860851,11579305,-,293078,259884,-,12153929,11839189,-,97.59,97.8,-
50-54,9481118,10106533,-,150045,262663,-,9631163,10369196,-,98.44,97.47,-
55-59,6730111,6598000,-,94409,100759,-,6824520,6698759,-,98.62,98.5,-
60+,9168879,9143477,-,38029,53958,-,9206908,9197435,-,99.59,99.41,-
Total,114061982,112504868,-,7757831,7344866,-,121819813,119849734,-,93.63,93.87,-
