Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2015,,,2015,,,2015,,,2015,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5127144,4174431,-,1506499,1885820,-,6633643,6060251,-,77.29,68.88,-
20-24,12573327,11573002,-,2454384,2710132,-,15027711,14283134,-,83.67,81.03,-
25-29,14747924,14029208,-,1372110,1244410,-,16120034,15273618,-,91.49,91.85,-
30-34,15232177,14687715,-,655740,576814,-,15887917,15264529,-,95.87,96.22,-
35-39,15544090,14815279,-,386609,359826,-,15930699,15175105,-,97.57,97.63,-
40-44,14818707,14295332,-,278279,228339,-,15096986,14523671,-,98.16,98.43,-
45-49,13040254,12708584,-,352618,201365,-,13392872,12909949,-,97.37,98.44,-
50-54,10966756,10529514,-,207091,148142,-,11173847,10677656,-,98.15,98.61,-
55-59,8051516,7846937,-,162058,137890,-,8213574,7984827,-,98.03,98.27,-
60+,10744926,10159197,-,79379,68084,-,10824305,10227281,-,99.27,99.33,-
Total,120846821,114819199,-,7454767,7560822,-,128301588,122380021,-,94.19,93.82,-
