Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2013,,,2013,,,2013,,,2013,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5356564,5846289,-,1574780,2331003,-,6931344,8177292,-,77.28,71.49,-
20-24,12608448,10546192,-,2233889,2180839,-,14842337,12727031,-,84.95,82.86,-
25-29,14832895,13183956,-,1243429,1058668,-,16076324,14242624,-,92.27,92.57,-
30-34,15310667,16065460,-,689715,606274,-,16000382,16671734,-,95.69,96.36,-
35-39,15060573,13771859,-,471329,346665,-,15531902,14118524,-,96.97,97.54,-
40-44,14103894,14789875,-,353612,307509,-,14457506,15097384,-,97.55,97.96,-
45-49,12245198,11983379,-,257515,229009,-,12502713,12212388,-,97.94,98.12,-
50-54,9922410,10311034,-,250295,205646,-,10172705,10516680,-,97.54,98.04,-
55-59,7061126,6830226,-,114522,93852,-,7175648,6924078,-,98.4,98.64,-
60+,9427837,9432802,-,51811,51466,-,9479648,9484268,-,99.45,99.46,-
Total,115929612,112761072,-,7240897,7410931,-,123170509,120172003,-,94.12,93.83,-
