Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2018,,,2018,,,2018,,,2018,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5153125,4475885,-,1129455,1649825,-,6282580,6125710,-,82.02,73.07,-
20-24,13254886,12250760,-,2494756,2471559,-,15749642,14722319,-,84.16,83.21,-
25-29,15282917,15119890,-,1223974,1133511,-,16506891,16253401,-,92.59,93.03,-
30-34,15949622,15581139,-,671914,555859,-,16621536,16136998,-,95.96,96.56,-
35-39,16127916,15773575,-,398486,400804,-,16526402,16174379,-,97.59,97.52,-
40-44,15555317,15172482,-,318750,277747,-,15874067,15450229,-,97.99,98.2,-
45-49,14115882,13998118,-,256955,224142,-,14372837,14222260,-,98.21,98.42,-
50-54,11854577,11727381,-,206608,165300,-,12061185,11892681,-,98.29,98.61,-
55-59,8989384,9011062,-,158746,113972,-,9148130,9125034,-,98.26,98.75,-
60+,13195915,13171894,-,103813,80666,-,13299728,13252560,-,99.22,99.39,-
Total,129479541,126282186,-,6963457,7073385,-,136442998,133355571,-,94.9,94.7,-
