Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2020,,,2020,,,2020,,,2020,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,4711703,5049940,-,1292778,1624465,-,6004481,6674405,-,78.47,75.66,-
20-24,13243144,11975718,-,2206310,2756019,-,15449454,14731737,-,85.72,81.29,-
25-29,15614144,14578808,-,1177974,1577866,-,16792118,16156674,-,92.98,90.23,-
30-34,16084442,15281561,-,539005,931925,-,16623447,16213486,-,96.76,94.25,-
35-39,16284401,15579183,-,439372,703300,-,16723773,16282483,-,97.37,95.68,-
40-44,15651372,15134905,-,320744,618192,-,15972116,15753097,-,97.99,96.08,-
45-49,14652722,14183849,-,279753,520964,-,14932475,14704813,-,98.13,96.46,-
50-54,12589556,12279282,-,267686,460375,-,12857242,12739657,-,97.92,96.39,-
55-59,9838506,9627329,-,244416,319179,-,10082922,9946508,-,97.58,96.79,-
60+,14622876,14763609,-,157448,255469,-,14780324,15019078,-,98.93,98.3,-
Total,133292866,128454184,-,6925486,9767754,-,140218352,138221938,-,95.06,92.93,-
