Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2021,,,2021,,,2021,,,2021,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,5208525,4676824,-,1212400,1469332,-,6420925,6146156,-,81.12,76.09,-
20-24,12165777,12055519,-,2609339,2597807,-,14775116,14653326,-,82.34,82.27,-
25-29,15019804,14864041,-,1534639,1516745,-,16554443,16380786,-,90.73,90.74,-
30-34,15533371,15569058,-,806661,893483,-,16340032,16462541,-,95.06,94.57,-
35-39,15898936,15956237,-,618486,667887,-,16517422,16624124,-,96.26,95.98,-
40-44,15519044,15629288,-,570598,552795,-,16089642,16182083,-,96.45,96.58,-
45-49,14450442,14628212,-,488428,498954,-,14938870,15127166,-,96.73,96.7,-
50-54,12586456,12775660,-,390218,284918,-,12976674,13060578,-,96.99,97.82,-
55-59,9772224,9950218,-,319643,201166,-,10091867,10151384,-,96.83,98.02,-
60+,14909726,14945466,-,195596,418965,-,15105322,15364431,-,98.71,97.27,-
Total,131064305,131050523,-,8746008,9102052,-,139810313,140152575,-,93.74,93.51,-
