Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2023,,,2023,,,2023,,,2023,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,4668215,4704951,-,1123495,1633463,-,5791710,6338414,-,80.6,74.23,-
20-24,13195089,13175089,-,2397136,2670475,-,15592225,15845564,-,84.63,83.15,-
25-29,16000069,15996632,-,1213435,1292355,-,17213504,17288987,-,92.95,92.52,-
30-34,16405596,16555574,-,761951,609968,-,17167547,17165542,-,95.56,96.45,-
35-39,16493906,16602867,-,670266,433484,-,17164172,17036351,-,96.09,97.46,-
40-44,15987583,16292858,-,680071,301667,-,16667654,16594525,-,95.92,98.18,-
45-49,14997739,15368956,-,612643,281342,-,15610382,15650298,-,96.08,98.2,-
50-54,13362946,13393721,-,187669,244284,-,13550615,13638005,-,98.62,98.21,-
55-59,10646349,10946491,-,149835,169268,-,10796184,11115759,-,98.61,98.48,-
60+,16875019,16815238,-,192774,218769,-,17067793,17034007,-,98.87,98.72,-
Total,138632511,139852377,-,7989275,7855075,-,146621786,147707452,-,94.55,94.68,-
