Age Group,,,,,,,,,,,,
,Labor Force (LF) by Age Group,,,,,,,,,,,
,Work,,,Total Unemployment,,,Total Labor Force,,,% Work / LF,,
,2019,,,2019,,,2019,,,2019,,
,February,August,Yearly,February,August,Yearly,February,August,Yearly,February,August,Yearly
15-19,4993971,4577291,-,1045299,1617950,-,6039270,6195241,-,82.69,73.88,-
20-24,13210542,12736484,-,2278376,2362143,-,15488918,15098627,-,85.29,84.36,-
25-29,15403622,15252156,-,1268358,1181384,-,16671980,16433540,-,92.39,92.81,-
30-34,16101630,15701113,-,607437,572878,-,16709067,16273991,-,96.36,96.48,-
35-39,16289314,15874420,-,431590,365259,-,16720904,16239679,-,97.42,97.75,-
40-44,15555079,15253763,-,330424,321300,-,15885503,15575063,-,97.92,97.94,-
45-49,14429373,14242586,-,322647,263223,-,14752020,14505809,-,97.81,98.19,-
50-54,12240365,12099514,-,207872,202984,-,12448237,12302498,-,98.33,98.35,-
55-59,9504296,9386280,-,159477,123901,-,9663773,9510181,-,98.35,98.7,-
60+,13964400,13631664,-,247316,93402,-,14211716,13725066,-,98.26,99.32,-
Total,131692592,128755271,-,6898796,7104424,-,138591388,135859695,-,95.02,94.77,-
